id,parentId,name,lastName,position,note,boxcolor,title_color,sub_title_color
155,145,Oliver,Tuvault,Sales Representative,30%,,,
156,146,Janette,King,Sales Representative,40%,,,
157,146,Patrick,Sully,Sales Representative,50%,,,
158,146,Allan,McEwen,Sales Representative,60%,,,
159,146,Lindsey,Smith,Sales Representative,70%,,,
160,146,Louise,Doran,Sales Representative,20%,,,
161,146,Sarath,Sewall,Sales Representative,30%,,,
162,147,Clara,Vishney,Sales Representative,40%,,,
163,147,Danielle,Greene,Sales Representative,50%,,,
164,147,Mattea,Marvins,Sales Representative,60%,,,
165,147,David,Lee,Sales Representative,70%,,,
166,147,Sundar,Ande,Sales Representative,30%,,,
167,147,Amit,Banda,Sales Representative,40%,,,
168,148,Lisa,Ozer,Sales Representative,50%,,,
169,148,Harrison,Bloom,Sales Representative,60%,,,
170,148,Tayler,Fox,Sales Representative,70%,,,
171,148,William,Smith,Sales Representative,20%,,,
172,148,Elizabeth,Bates,Sales Representative,30%,,,
173,148,Sundita,Kumar,Sales Representative,40%,,,
174,149,Ellen,Abel,Sales Representative,50%,,,
175,149,Alyssa,Hutton,Sales Representative,60%,,,
176,149,Jonathon,Taylor,Sales Representative,70%,,,
177,149,Jack,Livingston,Sales Representative,30%,,,
178,149,Kimberely,Grant,Sales Representative,40%,,,
179,149,Charles,Johnson,Sales Representative,50%,,,
180,120,Winston,Taylor,Shipping Clerk,60%,,,
181,120,Jean,Fleaur,Shipping Clerk,70%,,,
182,120,Martha,Sullivan,Shipping Clerk,20%,,,
183,120,Girard,Geoni,Shipping Clerk,30%,,,
184,121,Nandita,Sarchand,Shipping Clerk,40%,,,
185,121,Alexis,Bull,Shipping Clerk,50%,,,
186,121,Julia,Dellinger,Shipping Clerk,60%,,,
187,121,Anthony,Cabrio,Shipping Clerk,70%,,,
188,122,Kelly,Chung,Shipping Clerk,30%,,,
189,122,Jennifer,Dilly,Shipping Clerk,40%,,,
190,122,Timothy,Gates,Shipping Clerk,50%,,,
191,122,Randall,Perkins,Shipping Clerk,60%,,,
192,123,Sarah,Bell,Shipping Clerk,70%,,,
193,123,Britney,Everett,Shipping Clerk,20%,,,
194,123,Samuel,McCain,Shipping Clerk,30%,,,
195,123,Vance,Jones,Shipping Clerk,40%,,,
196,124,Alana,Walsh,Shipping Clerk,50%,,,
197,124,Kevin,Feeney,Shipping Clerk,60%,,,
198,124,Donald,OConnell,Shipping Clerk,70%,,,
199,124,Douglas,Grant,Shipping Clerk,30%,,,
200,101,Jennifer,Whalen,Administration Assistant,40%,,,
201,r100,Michael,Hartstein,Marketing Manager,50%,,,
202,201,Pat,Fay,Marketing Representative,60%,,,
203,101,Susan,Mavris,Human Resources Representative,70%,,,
204,101,Hermann,Baer,Public Relations Representative,20%,,,
205,101,Shelley,Higgins,Accounting Manager,30%,,,
206,205,William,Gietz,Public Accountant,40%,,,
